2025-07-30 11:53:39,435 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:49:08,352 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:49:08,460 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:49:08,480 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 12:49:16,844 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 12:49:16,849 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 12:49:22,478 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:49:22
2025-07-30 12:50:25,909 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:50:26,026 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:50:26,046 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 12:50:28,550 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 12:50:28,554 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 12:50:29,642 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:50:29
2025-07-30 12:54:51,240 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:54:51,353 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:54:51,371 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 12:54:54,626 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 12:54:54,630 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 12:54:55,452 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:54:55
2025-07-30 12:55:20,539 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 12:55:20,540 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 12:55:20,542 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 12:55:20,542 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 12:55:20,543 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 12:55:25,598 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:55:25,599 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:55:25,601 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 12:55:25,601 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:55:25,601 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:55:33,484 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:55:33,485 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:55:33,486 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 12:55:33,487 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:55:33,487 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:55:45,335 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:55:45,335 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:55:45,337 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 12:55:45,338 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:55:45,338 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:56:01,897 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:56:01,897 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:56:01,899 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 12:56:01,900 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:56:01,900 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:56:03,987 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:56:03,987 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:56:03,989 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 12:56:03,989 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:56:03,989 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:56:30,897 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:56:30,897 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:56:30,899 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 12:56:30,899 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:56:30,899 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:56:48,341 | main.views.pnl_ctrl | INFO | data rx: LED STATUS

2025-07-30 12:56:48,342 | MainWindow | DEBUG | data RX: LED STATUS

2025-07-30 12:56:48,342 | main.views.pnl_ctrl | INFO | data rx: LED STATUS

2025-07-30 12:57:20,955 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:57:21,068 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 12:57:21,091 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 12:57:25,448 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 12:57:25,454 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 12:57:26,421 | main.views.pnl_ctrl | INFO | Programa iniciado a las 12:57:26
2025-07-30 12:57:36,171 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:57:36,171 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:57:36,174 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 12:57:48,837 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:57:48,838 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:57:48,840 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 12:57:54,678 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 12:57:54,678 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 12:57:54,680 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 12:58:01,961 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 12:58:01,961 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 12:58:01,963 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 12:58:13,290 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 12:58:13,290 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 12:58:13,292 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:14:46,023 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 13:14:46,076 | PanelControlView | ERROR | Error al configurar contenido: <IndicatorKey.LEVER_01_COUNT: 6>
2025-07-30 13:14:46,076 | PanelControlView | ERROR | Error al configurar vista de inicio: <IndicatorKey.LEVER_01_COUNT: 6>
2025-07-30 13:21:57,861 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 13:21:57,970 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 13:21:57,987 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 13:22:05,081 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 13:22:05,087 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 13:22:05,892 | main.views.pnl_ctrl | INFO | Programa iniciado a las 13:22:05
2025-07-30 13:22:11,016 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:22:11,016 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:22:11,019 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:22:26,461 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:22:26,461 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:22:26,463 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:22:27,405 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:22:27,406 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:22:27,408 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:22:28,019 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:22:28,019 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:22:28,021 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:24:07,600 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 13:24:07,717 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 13:24:07,742 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 13:24:09,957 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 13:24:09,964 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 13:24:11,401 | main.views.pnl_ctrl | INFO | Programa iniciado a las 13:24:11
2025-07-30 13:24:16,321 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:24:16,321 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:24:16,323 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:24:16,865 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:24:16,865 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:24:16,867 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:25:33,782 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 13:25:33,896 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 13:25:33,915 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 13:25:36,945 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 13:25:36,952 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 13:25:37,803 | main.views.pnl_ctrl | INFO | Programa iniciado a las 13:25:37
2025-07-30 13:25:43,989 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:25:43,990 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:25:43,992 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:25:44,840 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:25:44,840 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:25:44,842 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:25:45,616 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:25:45,616 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:25:45,618 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:25:46,393 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:25:46,393 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:25:46,395 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:26:31,669 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:26:31,670 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:26:31,671 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:26:34,392 | main.views.pnl_ctrl | INFO | data rx: STATUS

2025-07-30 13:26:34,392 | MainWindow | DEBUG | data RX: STATUS

2025-07-30 13:26:36,404 | main.views.pnl_ctrl | INFO | data rx: STATUS

2025-07-30 13:26:36,404 | MainWindow | DEBUG | data RX: STATUS

2025-07-30 13:26:45,724 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:26:45,724 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:26:45,726 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:26:46,952 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:26:46,953 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:26:46,954 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:27:15,674 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:27:15,674 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:27:15,676 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:28:06,528 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:28:06,528 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:28:06,530 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:28:23,859 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:28:23,860 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:28:23,862 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:32:12,580 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:32:12,580 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:32:12,582 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:37:40,569 | InicioView | INFO | Vista de inicio configurada correctamente
2025-07-30 13:37:40,673 | PanelControlView | INFO | Vista de inicio configurada correctamente
2025-07-30 13:37:40,692 | main.views.pnl_ctrl | INFO | status uart Panel: False
2025-07-30 13:37:45,811 | main.views.pnl_ctrl | INFO | conectar
2025-07-30 13:37:45,815 | main.views.pnl_ctrl | INFO | status uart Panel: True
2025-07-30 13:37:46,743 | main.views.pnl_ctrl | INFO | Programa iniciado a las 13:37:46
2025-07-30 13:38:00,253 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:38:00,253 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:38:00,258 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:38:02,092 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:38:02,092 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:38:02,094 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:38:20,598 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:20,599 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:20,601 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:29,588 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:29,589 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:29,590 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:30,251 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:38:30,252 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:38:30,253 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:38:30,448 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:38:30,448 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:38:30,450 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:38:30,670 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:38:30,670 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:38:30,672 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:38:30,872 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:38:30,873 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:38:30,875 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:38:31,431 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:31,432 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:31,433 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:53,597 | main.views.pnl_ctrl | INFO | data rx: P01:1

2025-07-30 13:38:53,597 | main.views.pnl_ctrl | DEBUG | Procesado -> P01 = 1
2025-07-30 13:38:53,600 | MainWindow | DEBUG | data RX: P01:1

2025-07-30 13:38:55,398 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:55,399 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:55,401 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:55,991 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:55,991 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:55,993 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:56,250 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:56,250 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:56,252 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:56,452 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:56,452 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:56,454 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:56,699 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:56,699 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:56,701 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:56,973 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:56,973 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:56,975 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:57,324 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:57,324 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:57,326 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:57,518 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:57,518 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:57,520 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:57,822 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:57,823 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:57,825 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:57,977 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:57,977 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:57,979 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:58,225 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:58,225 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:58,227 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:58,467 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:58,467 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:58,469 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:59,490 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:59,490 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:59,491 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:38:59,735 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:38:59,735 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:38:59,737 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:39:00,017 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:39:00,017 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:39:00,019 | MainWindow | DEBUG | data RX: P02:1

2025-07-30 13:39:00,253 | main.views.pnl_ctrl | INFO | data rx: P02:1

2025-07-30 13:39:00,254 | main.views.pnl_ctrl | DEBUG | Procesado -> P02 = 1
2025-07-30 13:39:00,255 | MainWindow | DEBUG | data RX: P02:1

